0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:22 +0900] "GET HTTP/1.1 " 400 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:28 +0900] "GET /index.jsp HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:28 +0900] "GET /resources/css/board.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:28 +0900] "GET /resources/css/layout.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:29 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:41 +0900] "POST /hotel/searchhotel.do HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:41 +0900] "GET /resources/photo/cc1a39f0917d47dca5741164e63d0a23.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:41 +0900] "GET /resources/photo/f31d1be115ca41d1826fce89b0796f56.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:55 +0900] "GET /hotel/detail.do?name=Bit%20Hotel HTTP/1.1" 200 6273
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:55 +0900] "GET /resources/photo/a470d02980414fa4852664534bf7cec0.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:55 +0900] "GET /resources/photo/ea7ffc200c4b4e7f9cb0595621cfeda6.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:55 +0900] "GET /resources/photo/76893c60f3414f7fb61eb6d94085e40b.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:14:58:55 +0900] "GET /resources/photo/06ea4774c89140fdbcaab3ba9b0e4202.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:00:13 +0900] "GET / HTTP/1.1" 200 3165
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:01 +0900] "GET / HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:01 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:01 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:01 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:01 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:02 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:03 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:38 +0900] "GET / HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:38 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:38 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:39 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:39 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:40 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:41 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:53 +0900] "GET / HTTP/1.1" 200 3258
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:05:53 +0900] "GET /resources/images/main.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:07 +0900] "POST /hotel/searchhotel.do HTTP/1.1" 200 4129
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:33 +0900] "GET / HTTP/1.1" 200 3263
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:33 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:33 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:33 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:33 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:35 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:35 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:55 +0900] "GET / HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:55 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:55 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:56 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:56 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:57 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:06:57 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:07 +0900] "GET / HTTP/1.1" 200 3261
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:07 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:07 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:08 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:08 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:08 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:09 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:16 +0900] "GET / HTTP/1.1" 200 3262
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:16 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:16 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:17 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:17 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:19 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:07:19 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:34 +0900] "GET / HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:34 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:34 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:35 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:35 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:36 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:08:37 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:09:31 +0900] "GET / HTTP/1.1" 200 3333
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:09:31 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:09:31 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:09:32 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:09:32 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:09:33 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:09:33 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:10:22 +0900] "GET / HTTP/1.1" 200 3331
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:10:22 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:10:22 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:10:22 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:10:22 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:10:24 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:10:24 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:11:17 +0900] "GET / HTTP/1.1" 200 3302
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:11:17 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:11:17 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:11:18 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:11:18 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:11:19 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:11:20 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:12 +0900] "GET / HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:12 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:12 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:13 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:13 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:13 +0900] "GET /resources/images/button.gif HTTP/1.1" 200 1393
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:13 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:21 +0900] "GET / HTTP/1.1" 200 3317
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:21 +0900] "GET /resources/css/board.css HTTP/1.1" 200 1169
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:21 +0900] "GET /resources/css/layout.css HTTP/1.1" 200 422
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:21 +0900] "GET /resources/images/main.jpg HTTP/1.1" 200 141312
0:0:0:0:0:0:0:1 - - [11/Feb/2017:15:12:21 +0900] "GET /resources/images/bubble.jpg HTTP/1.1" 200 34171
